Recoding ID,genre,subgenre,Song Title,singer,Gender,YouTube URL,duration_sec,segment_id,recording_id,segment_index,segment_start_sec,segment_end_sec,segment_duration_sec,edge_trimmed,rms_energy,likely_silent,segment_filepath
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg00,AFM0001.wav,0,0.0,20.0,20.0,True,0.21777,False,dataset_segments/Kamrupi/AFM0001_seg00.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg01,AFM0001.wav,1,10.0,30.0,20.0,True,0.26262,False,dataset_segments/Kamrupi/AFM0001_seg01.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg02,AFM0001.wav,2,20.0,40.0,20.0,True,0.33334,False,dataset_segments/Kamrupi/AFM0001_seg02.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg03,AFM0001.wav,3,30.0,50.0,20.0,True,0.40362,False,dataset_segments/Kamrupi/AFM0001_seg03.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg04,AFM0001.wav,4,40.0,60.0,20.0,True,0.41884,False,dataset_segments/Kamrupi/AFM0001_seg04.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg05,AFM0001.wav,5,50.0,70.0,20.0,True,0.41692,False,dataset_segments/Kamrupi/AFM0001_seg05.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg06,AFM0001.wav,6,60.0,80.0,20.0,True,0.45023,False,dataset_segments/Kamrupi/AFM0001_seg06.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg07,AFM0001.wav,7,70.0,90.0,20.0,True,0.48067,False,dataset_segments/Kamrupi/AFM0001_seg07.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg08,AFM0001.wav,8,80.0,100.0,20.0,True,0.49444,False,dataset_segments/Kamrupi/AFM0001_seg08.wav
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261.0,AFM0001_seg09,AFM0001.wav,9,90.0,110.0,20.0,True,0.44789,False,dataset_segments/Kamrupi/AFM0001_seg09.wav
